created_weekday,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Monday,28.0,25.0,28.0,25.0,26.0,46.0,62.0,85.5,87.0,105.5,99.5,115.5,101.5,97.0,104.0,123.0,89.0,88.0,76.0,82.0,75.0,65.0,50.5,38.5
Tuesday,36.0,31.0,30.5,30.0,35.0,48.0,60.0,88.5,82.0,76.0,96.5,89.0,98.5,92.5,96.0,91.5,96.0,76.0,81.5,79.0,73.0,60.0,50.5,46.0
Wednesday,35.5,26.5,32.5,27.5,36.5,46.0,67.5,84.5,97.5,94.0,95.5,76.5,82.5,88.0,86.0,78.5,73.0,77.0,71.5,68.0,73.0,57.0,49.5,32.0
Thursday,28.5,28.0,29.0,32.0,37.0,38.5,59.5,74.0,90.0,73.5,71.0,99.5,111.5,94.0,90.0,90.0,72.0,71.0,75.5,60.5,66.5,64.0,40.5,37.5
Friday,23.5,25.5,24.0,23.0,29.5,41.5,56.0,76.0,81.5,83.0,77.5,82.0,80.0,87.0,70.5,79.5,63.5,66.0,47.5,65.0,49.0,46.0,46.0,30.0
Saturday,31.0,26.0,26.0,38.0,25.0,45.0,61.0,53.0,57.0,69.0,61.0,67.0,74.0,101.0,90.0,71.0,56.0,76.0,63.0,56.0,52.0,56.0,44.0,30.0
Sunday,28.0,20.0,21.5,18.0,27.0,35.0,42.5,66.0,60.5,69.0,77.0,58.0,59.0,68.5,55.5,54.5,58.0,64.0,63.0,53.0,60.0,45.5,39.0,24.5
